water_id,loc_id,sample_code,sample_date,tow_type,tow_count,tow_length,tow_total,tow_cmmt,analysis_type,p_h,sample_cmmt,veliger_count,locmetadata,huc2,huc6,huc8,waterbody_name,location_name,state,latitude,longitude,water_year,veliger_detect
147,937,130003,2012-10-10,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,312,GPS,15,150100,15010005,LAKE MEAD,ECHO BAY/VIRGIN RIVER (VR13.0),AZ-NV,36.2898,-114.388,2013,1
147,937,130004,2012-11-14,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,719,GPS,15,150100,15010005,LAKE MEAD,ECHO BAY/VIRGIN RIVER (VR13.0),AZ-NV,36.2898,-114.388,2013,1
147,941,130005,2012-11-27,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,107,GPS,15,150100,15010005,LAKE MEAD,TEMPLE BAR (CR380.0),AZ-NV,36.0467,-114.2733,2013,1
147,940,130006,2012-11-27,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,826,GPS,15,150100,15010005,LAKE MEAD,SANDY POINT (CR394.0),AZ-NV,36.1002,-114.1168,2013,1
147,937,130007,2012-12-11,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,0,GPS,15,150100,15010005,LAKE MEAD,ECHO BAY/VIRGIN RIVER (VR13.0),AZ-NV,36.2898,-114.388,2013,0
147,941,130008,2013-01-02,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,32,GPS,15,150100,15010005,LAKE MEAD,TEMPLE BAR (CR380.0),AZ-NV,36.0467,-114.2733,2013,1
147,940,130009,2013-01-02,Vertical,1,40,40,NA,Veliger Count,7,Good 7.0,271,GPS,15,150100,15010005,LAKE MEAD,SANDY POINT (CR394.0),AZ-NV,36.1002,-114.1168,2013,1
153,973,130010,2013-01-14,NA,NA,NA,NA,NA,Microscopy & PCR,7,Good 7.0,0,GOOGLE EARTH,14,140700,14070006,LAKE POWELL,GLEN CANYON DAM OUTFLOW,UT-AZ,36.935,-111.483,2013,0
153,973,130011,2013-01-14,NA,NA,NA,NA,NA,Microscopy & PCR,7,Good 7.0,0,GOOGLE EARTH,14,140700,14070006,LAKE POWELL,GLEN CANYON DAM OUTFLOW,UT-AZ,36.935,-111.483,2013,0
148,947,130012,2013-01-16,Vertical,1,30,30,NA,Veliger Count,7.5,Good 7.5,102,GPS,15,150301,15030101,LAKE MOHAVE,WILLOW BEACH MARINA,NV,35.868449,-114.66478,2013,1
148,946,130013,2013-01-16,Vertical,2,15,30,NA,Veliger Count,7.5,Good 7.5,147,GPS,15,150301,15030101,LAKE MOHAVE,PLACER COVE,NV,35.705455,-114.705267,2013,1
148,943,130014,2013-01-17,Vertical,3,10,30,NA,Veliger Count,7.5,Good 7.5,192,GPS,15,150301,15030101,LAKE MOHAVE,COTTONWOOD COVE MARINA,NV,35.49408,-114.680257,2013,1
148,945,130015,2013-01-17,Vertical,2,15,30,NA,Veliger Count,7.5,Good 7.5,269,GPS,15,150301,15030101,LAKE MOHAVE,KATHERINE LANDING MARINA,NV,35.22103,-114.580237,2013,1
147,938,130016,2013-01-15,Vertical,3,10,30,NA,Veliger Count,7.5,Good 7.5,157,GPS,15,150100,15010005,LAKE MEAD,HOOVER DAM (CR342.5),AZ-NV,36.0193,-114.7326,2013,1
147,938,130017,2013-01-15,Vertical,1,30,30,NA,Veliger Count,7.5,Good 7.5,199,GPS,15,150100,15010005,LAKE MEAD,HOOVER DAM (CR342.5),AZ-NV,36.0193,-114.7326,2013,1
426,327,130018,2013-01-23,NA,NA,NA,NA,NA,Microscopy,8.5,Good 8.5,45,GPS,15,150301,15030104,COLORADO RIVER,INTERSTATE 10 GAGE,AZ-CA,33.5894,-114.5427,2013,1
